Id,Nombre,id_local,x,y
200,LOS QUESOS DE L`AMELIE,270532715,444910.58,4478032.48
201,VINUBAR,280045385,438617.61,4475016.55
202,BAR JUANITO,20000108,441231.58,4472695.52
203,CAFETERIA LA OCHAVA,20000419,441200.58,4473166.52
204,BISTRO PREMIUM RESTAURANTE,270287459,441258.58,4473095.52
205,BAR EL ANDEN,270058751,441274.58,4473074.52
206,UVE Y MARI,200001212,446951.56,4475171.45
207,EL RACO,200001162,446670.57,4476862.45
208,CERVEZAS UCEDA,200000884,447897.55,4474596.43
209,EL DESVAN CAFE RESTAURANTE,200000995,447920.55,4474609.43
210,BAR LAS CINCO LAGUNAS,270523220,448064.55,4474672.43
211,EL RACIMO DE ORO,200000125,448216.56,4476092.43
212,BAR PASCUALA,200000832,447308.56,4475422.44
213,PASTELERIA CHARLOT CAFETERIA,200001963,448261.57,4477568.43
214,CERVECERIA DAN-CAR,270318039,447987.56,4476775.43
215,BAR EL RINCON DE MIGUELIN,270229078,447947.56,4476734.43
216,BAR EL CAFELITO CAFETERIA,270307951,448062.56,4476309.43
217,CAFETERIA VERTIGO,270263970,448179.56,4475281.42
218,BAR LA CAMPANA,200001347,446689.56,4475284.45
219,BAR UCLES,270545395,446959.56,4475461.45
220,RESTAURANTE CHINO DINASTY,200000868,447466.57,4476737.44
221,BAR MAQUEDA S,270276973,447254.56,4475066.44
222,BLACK AND GREY,200000855,448209.57,4477366.43
223,BAR LOS MELLIZOS,270202254,448332.56,4476984.43
224,EL CHAVAL FREIDURIA,270188583,448436.56,4476804.42
225,BAR LOS AMIGOS,270537907,452050.56,4477576.36
226,CEFETERIA CERVECERIA JUVINA,280067426,448020.56,4475777.43
227,RESTAURANTE VICTORIA,280067190,448052.55,4474798.43
228,SR,280066092,447577.55,4474689.43
229,A TABERNA DO MEIGO,200000909,448845.55,4475251.41
230,GAMBRINUS,200001615,445927.57,4476526.46
231,BAR RESTAURANTE,270380796,446282.56,4475875.46
232,CHURRERIA LOS MADRO?OS,270545030,446644.56,4475239.45
233,CERVECERIA LORENZO,200000310,448057.56,4476320.43
234,BAYMA CAFETERIA,270441696,445988.57,4476413.46
235,BAR LA ISLA,270223304,446812.56,4475253.45
236,BAR EL PUCHERO,270399792,448291.56,4475946.42
237,BAR LA BAH?A,270202216,448257.56,4475971.42
238,MATSURI,270543978,446188.57,4477217.46
239,CASI BAR,270032768,448285.56,4476333.42
240,BAR RESTAURANTE DAKINI,270549774,447023.56,4476298.45
241,LA ALCAZABA DE ALMERIA,270529634,448176.56,4475997.43
242,CERVECERIA BAR SILA,270187893,447678.56,4475349.43
243,LOS NI?OS DE LA VICTORIA BAR CAFE,270529281,447703.56,4475352.43
244,CAFETERIA RESTAURANTE JULIOS,270360303,447649.56,4475326.43
245,BAR JULI,270271987,447699.56,4475295.43
246,CARNICERIA CAMI,270029619,446592.56,4475536.45
247,BAR LOS ANGELES,200000107,448098.57,4477435.43
248,SIDRERIA EL LLAGAR,270537939,448194.57,4477338.43
249,BAR GUADIANA,270030162,447122.56,4474988.44
250,EL REFUGIO,270030163,447149.56,4474986.44
251,BAR GIL,270208604,448026.56,4476767.43
252,ALMADRABA,200000531,448556.56,4475294.42
253,CAFETERIA EL ZARZAL,200000447,448413.56,4476145.42
254,CERVECERIA BAR EL MOLINON,200000847,447657.55,4474444.43
255,BAR COIMBRA,270232747,447796.56,4475353.43
256,BAR SUPERA,200001301,447016.56,4474831.44
257,BAR QUEDATE CONMIGO,200001576,448270.55,4474989.42
258,BAR CAMARERO,200000142,447253.56,4475403.44
259,BAR LA MONTA?A,270188981,448407.57,4477498.43
260,BAR SEGOVIA,270188991,448377.57,4477538.43
261,CERVECERIA EL PIRATA,270188909,448378.57,4477355.43
262,LA ANDALUZA,270408888,449047.55,4475211.41
263,LA VILLA DE FOZ,200001356,449018.55,4475377.41
264,BAR EL REFUGIO,200001213,449033.55,4475136.41
265,CERVECERIA Z DE MADRIZ,200000902,448947.56,4475637.41
266,RESTAURANTE CHINO MULAN,270547424,448313.55,4474748.42
267,FRESH DONNER KEBAB,270447448,448468.55,4474856.42
268,ESCUELA DE ENSE?ANZA,270539192,448774.55,4475159.41
269,A LA DE TRES,200000348,448703.55,4475313.42
270,LONGINOS HOUSE,270157123,440291.57,4470205.52
271,BAR LA PLAZA,270409801,440012.56,4468920.52
272,HNOS MAYORDOMO,270296754,439532.58,4470033.53
273,BAR,270154385,439941.56,4469081.52
274,O FREIXO,270539344,439293.59,4470900.53
275,EL RINCON DE LA ALCARRIA,200000893,447454.57,4476737.44
276,RESTAURANTE CAFETERIA SHIRAY,270204364,446851.57,4476512.45
277,MAKE DONNER,270187603,447174.56,4475394.44
278,CERVECERIA HEVIA,270497966,446094.57,4476610.46
279,RESTAURANTE LAZICA,270535935,446132.57,4476621.46
280,BAR,270187701,447041.56,4475210.44
281,SANKALY,270216417,446210.57,4476650.46
282,TABERNA ENTRE CASTILLAS,200000650,446587.57,4476832.45
283,MAR & YO,200000118,446694.57,4476870.45
284,SANPAS,200001477,446871.57,4476875.45
285,CAFETERIA ARUAL,270530271,447925.57,4477359.43
286,CAFETERIA LA FLOR DE LIS,270477969,447940.57,4477372.43
287,BAR SEOANE RESTAURANTE,270189108,448026.57,4477485.43
288,EL RINCON LUSO BAR,270480989,448336.57,4477706.43
289,CERVECERIA SANZ,270187385,447589.56,4475729.44
290,LAS ESTRELLAS,200001259,447557.56,4475774.44
291,CAFE BAR  TUPY II,200000314,447560.56,4475839.44
292,BAR LA QUINTANA,270187559,447223.56,4475396.44
293,CAFETERIA SHIRAY,270187610,447224.56,4475326.44
294,BAR LAS MARAVILLAS,200000056,447251.56,4475277.44
295,BAR BURGOS,270225471,447689.56,4475277.43
296,LA TOSTA CAFETERIA,200000876,447546.55,4474389.43
297,DELICIAS Y TORTAZOS,270491876,447965.55,4474585.43
298,R?TULO NO INFORMADO,270353391,445773.54,4470800.46
299,ASADOR LEKEITIO,270091380,442988.59,4478464.51
300,GELATERIA LA ROMANA,280021159,441770.6,4478069.52
301,CAFETERIA OLIVAR BURGER,280065973,446871.56,4475578.45
302,PELAEZ CERVECERIA,270187253,446919.56,4475510.45
303,BAR ROSZ,200001995,446627.2393,4476846.584
304,ALMETRO,270457188,446929.56,4475561.45
305,TABERNA LAS GEMELAS,270451091,446944.56,4475498.45
306,FRUTAS Y VERDURAS MANOLIN,270187251,446915.56,4475489.45
307,BAR LA TABERNA,270187108,446959.56,4475800.45
308,CERVECERIA EL TERMINO,200000654,447082.56,4475868.44
309,SAN JUDAS F.,200001092,447100.56,4475802.44
310,CASA GARCIA,270202175,447092.56,4475819.44
311,CAFETERIA-CERVECERIA  VALENTIN,270187817,447407.55,4474541.44
312,CASA EUROPA CERVECERIA RESTAURANTE,270327991,448215.55,4474913.42
313,MANHATTAN,200000905,446613.56,4476199.45
314,CASA MANUELA,200000352,449034.55,4475292.41
315,METROPOLI,200001486,448734.55,4475335.42
316,PIAZZA ITALIA,270529172,448701.56,4475520.42
317,CERVECER?A EL PE??N,200001245,448619.56,4475789.42
318,LA TABERNA FANTASTICA,200000783,448645.56,4475855.42
319,CAFETERIA  VAPORETTO,200000816,448173.57,4477359.43
320,EL RINCON DEL JAMON,270359578,446813.56,4475885.45
321,LA LUMBRE,270187032,447081.56,4476031.44
322,CAFETERIA LA TRADICION,270530266,448295.55,4474777.42
323,RESTAURANTE,200001275,446585.56,4475576.45
324,TAT? G?TEAU,270434272,439151.63,4482052.57
325,CERVECER?A BAMBERG,285016399,442831.63,4484364.53
326,BAR GOYA,270190198,450443.57,4477992.39
327,COZINA,270553981,447727.58,4479147.44
328,CANTINA LA TRAVIESA,280007506,439912.59,4473957.53
329,FARAON,270354508,440839.55,4468098.51
330,BAR SIDNEY,270076687,443108.58,4475778.5
331,LIZARRAN,270541050,442835.58,4475002.5
332,OFICINA DESPACHO TECNICO,50001180,441993.6,4478871.52
333,FRESNO,270491022,443243.58,4476368.5
334,EL RINCON DE DALI,270244013,442818.58,4475079.5
335,LA JARRA Y LA PIPA,270377715,442582.58,4475088.51
336,CAFETERIA CASTILLA,270362232,442556.58,4476479.51
337,MANDARIZ CAFE,40002353,442923.58,4475005.5
338,CASA EGIDO,270492263,441350.58,4472506.52
339,RESTAURANTE EL LUCA,270478944,440765.58,4471722.52
340,NEMRUT D?NER KEBAP,20001104,441075.58,4471375.52
341,EL PRINCIPADO,280017942,441383.58,4472937.52
342,PAQUITA BAR RESTAURANTE,285005703,441985.58,4472018.51
343,EL CHISCON,20000904,439001.59,4472551.54
